,a,abbr,b,footer,form,h1,h2,h3,head,i,input,label,li,nav,p,small,span,sub,tbody,title,tr,ul
0,Jump to navigation,,,,,,,,,,,,,,,,,,,,,
1,Jump to search,,,,,,,,,,,,,,,,,,,,,
2,Wikipedia,,,,,,,,,,,,,,,,,,,,,
3,free,,,,,,,,,,,,,,,,,,,,,
4,encyclopedia,,,,,,,,,,,,,,,,,,,,,
5,anyone can edit,,,,,,,,,,,,,,,,,,,,,
6,"6,242,418",,,,,,,,,,,,,,,,,,,,,
7,English,,,,,,,,,,,,,,,,,,,,,
8,The arts,,,,,,,,,,,,,,,,,,,,,
9,Biography,,,,,,,,,,,,,,,,,,,,,
10,Geography,,,,,,,,,,,,,,,,,,,,,
11,History,,,,,,,,,,,,,,,,,,,,,
12,Mathematics,,,,,,,,,,,,,,,,,,,,,
13,Science,,,,,,,,,,,,,,,,,,,,,
14,Society,,,,,,,,,,,,,,,,,,,,,
15,Technology,,,,,,,,,,,,,,,,,,,,,
16,All portals,,,,,,,,,,,,,,,,,,,,,
17,Pacific swift,,,,,,,,,,,,,,,,,,,,,
18,swift,,,,,,,,,,,,,,,,,,,,,
19,migratory,,,,,,,,,,,,,,,,,,,,,
20,Southeast Asia,,,,,,,,,,,,,,,,,,,,,
21,common swift,,,,,,,,,,,,,,,,,,,,,
22,family,,,,,,,,,,,,,,,,,,,,,
23,Full article...,,,,,,,,,,,,,,,,,,,,,
24,Bee-eater,,,,,,,,,,,,,,,,,,,,,
25,Groundhog Day (film),,,,,,,,,,,,,,,,,,,,,
26,Haane Manahi,,,,,,,,,,,,,,,,,,,,,
27,Archive,,,,,,,,,,,,,,,,,,,,,
28,By email,,,,,,,,,,,,,,,,,,,,,
29,More featured articles,,,,,,,,,,,,,,,,,,,,,
30,A Reading from Homer,,,,,,,,,,,,,,,,,,,,,
31,Bangladesh women's team,,,,,,,,,,,,,,,,,,,,,
32,One Day International cricket match,,,,,,,,,,,,,,,,,,,,,
33,Benedict Joseph Fenwick,,,,,,,,,,,,,,,,,,,,,
34,College of the Holy Cross,,,,,,,,,,,,,,,,,,,,,
35,Maine,,,,,,,,,,,,,,,,,,,,,
36,"Worcester, Massachusetts",,,,,,,,,,,,,,,,,,,,,
37,penalty shootout,,,,,,,,,,,,,,,,,,,,,
38,2015 Football League Two play-off Final,,,,,,,,,,,,,,,,,,,,,
